Time,Channel A
(s),(V)

1.45379996,-1.00570691
1.45384996,-1.02401805
1.45389996,-1.02401805
1.45394996,-1.00570691
1.45399996,-1.00570691
1.45404996,-1.02401805
1.45409996,-1.00570691
1.45414996,-1.02401805
1.45419996,-1.02401805
1.45424996,-1.00570691
1.45429996,-1.00570691
1.45434996,-1.00570691
1.45439996,-1.00570691
1.45444996,-1.02401805
1.45449996,-1.02401805
1.45454996,-1.02401805
1.45459996,-1.02401805
1.45464996,-1.00570691
1.45469996,-1.02401805
1.45474996,-1.00570691
1.45479996,-1.02401805
1.45484996,-1.00570691
1.45489996,-1.00570691
1.45494996,-1.02401805
1.45499996,-1.00570691
1.45504996,-1.02401805
1.45509996,-1.00570691
1.45514996,-1.00570691
1.45519996,-1.02401805
1.45524996,-1.02401805
1.45529996,-1.00570691
1.45534996,-1.00570691
1.45539996,-1.00570691
1.45544996,-1.02401805
1.45549996,-1.00570691
1.45554996,-1.00570691
1.45559996,-1.00570691
1.45564996,-1.00570691
1.45569996,-1.00570691
1.45574996,-1.02401805
1.45579996,-1.00570691
1.45584996,-1.00570691
1.45589996,-1.00570691
1.45594996,-1.04226816
1.45599996,-1.00570691
1.45604996,-1.00570691
1.45609996,-1.02401805
1.45614996,-1.00570691
1.45619996,-1.02401805
1.45624996,-1.00570691
1.45629996,-1.00570691
1.45634996,-1.00570691
1.45639996,-1.00570691
1.45644996,-1.02401805
1.45649996,-1.02401805
1.45654996,-1.00570691
1.45659996,-1.00570691
1.45664996,-1.02401805
1.45669996,-1.02401805
1.45674996,-1.02401805
1.45679996,-1.02401805
1.45684996,-1.00570691
1.45689996,-1.00570691
1.45694996,-1.02401805
1.45699996,-1.02401805
1.45704996,-1.00570691
1.45709996,-1.00570691
1.45714996,-1.00570691
1.45719996,-1.00570691
1.45724996,-1.00570691
1.45729996,-1.02401805
1.45734996,-1.00570691
1.45739996,-1.00570691
1.45744996,-1.02401805
1.45749996,-1.02401805
1.45754996,-1.00570691
1.45759996,-1.00570691
1.45764996,-1.02401805
1.45769996,-1.02401805
1.45774996,-1.02401805
1.45779996,-1.00570691
1.45784996,-1.02401805
1.45789996,-1.00570691
1.45794996,-1.00570691
1.45799996,-1.02401805
1.45804996,-1.00570691
1.45809996,-1.00570691
1.45814996,-1.02401805
1.45819996,-1.02401805
1.45824996,-1.00570691
1.45829996,-1.00570691
1.45834996,-1.02401805
1.45839996,-1.00570691
1.45844996,-1.02401805
1.45849996,-1.00570691
1.45854996,-1.00570691
1.45859996,-1.00570691
1.45864996,-1.00570691
1.45869996,-1.00570691
1.45874996,-1.00570691
1.45879996,-1.00570691
1.45884996,-1.02401805
1.45889996,-1.00570691
1.45894996,-1.02401805
1.45899996,-1.02401805
1.45904996,-1.00570691
1.45909996,-1.00570691
1.45914996,-1.02401805
1.45919996,-1.02401805
1.45924996,-1.00570691
1.45929996,-1.02401805
1.45934996,-1.02401805
1.45939996,-1.02401805
1.45944996,-1.02401805
1.45949996,-1.00570691
1.45954996,-1.02401805
1.45959996,-1.02401805
1.45964996,-1.00570691
1.45969996,-1.00570691
1.45974996,-1.00570691
1.45979996,-1.02401805
1.45984996,-1.00570691
1.45989996,-1.00570691
1.45994996,-1.02401805
1.45999996,-1.02401805
1.46004996,-1.00570691
1.46009996,-1.00570691
1.46014996,-1.02401805
1.46019996,-1.02401805
1.46024996,-1.00570691
1.46029996,-1.00570691
1.46034996,-1.00570691
1.46039996,-1.02401805
1.46044996,-1.00570691
1.46049996,-1.00570691
1.46054996,-1.02401805
1.46059996,-1.02401805
1.46064996,-1.02401805
1.46069996,-1.02401805
1.46074996,-1.00570691
1.46079996,-1.00570691
1.46084996,-1.00570691
1.46089996,-1.00570691
1.46094996,-1.02401805
1.46099996,-1.00570691
1.46104996,-1.00570691
1.46109996,-1.00570691
1.46114996,-1.02401805
1.46119996,-1.00570691
1.46124996,-1.02401805
1.46129996,-1.04226816
1.46134996,-1.00570691
1.46139996,-1.02401805
1.46144996,-1.02401805
1.46149996,-1.00570691
1.46154996,-1.00570691
1.46159996,-1.00570691
1.46164996,-1.02401805
1.46169996,-1.00570691
1.46174996,-1.00570691
1.46179996,-1.02401805
1.46184996,-1.00570691
1.46189996,-1.02401805
1.46194996,-1.02401805
1.46199996,-1.02401805
1.46204996,-1.00570691
1.46209996,-1.00570691
1.46214996,-1.00570691
1.46219996,-1.02401805
1.46224996,-1.00570691
1.46229996,-1.02401805
1.46234996,-1.00570691
1.46239996,-1.02401805
1.46244996,-1.00570691
1.46249996,-1.02401805
